G2expocode,G2cruise,G2station,G2year,G2month,G2day,G2latitude,G2longitude,G2depth,G2tco2,G2talk,G2temperature,G2salinity,G2phtsinsitutp,G2tco2qc,G2talkqc,G2phtsqc
33RO20170718,4058.0,94.0,2017.0,8.0,18.0,24.7412,-80.619,10.0,2025.9,2382.61,30.149,35.882,8.02067844298195,0.0,0.0,0.0
33WA20150921,4060.0,54.0,2015.0,9.0,24.0,25.3379,-81.1563,1.0,2477.3,2665.6,29.41,35.297,7.74340286176888,0.0,0.0,0.0
33WA20141201,4059.0,54.0,2014.0,12.0,4.0,25.3425,-81.1535,1.0,2620.8,2834.4,21.25,31.083,7.88051703925423,0.0,0.0,0.0
33WA20141201,4059.0,54.0,2014.0,12.0,3.0,25.3451,-81.1521,1.0,2596.7,2853.1,20.6,31.159,7.90791993031869,0.0,0.0,0.0
33WA20150921,4060.0,54.0,2015.0,9.0,23.0,25.3451,-81.1518,1.0,2475.1,2716.4,29.58,34.6,7.81039306242052,0.0,0.0,0.0
33WA20141201,4059.0,55.0,2014.0,12.0,4.0,25.3488,-81.1974,1.0,2385.0,2656.7,20.81,33.073,7.84186403747116,0.0,0.0,0.0
33WA20141201,4059.0,56.0,2014.0,12.0,4.0,25.349,-81.2248,1.0,2296.2,2572.1,20.85,33.945,7.83836209745796,0.0,0.0,0.0
33WA20141201,4059.0,56.0,2014.0,12.0,3.0,25.3498,-81.2289,1.0,2252.1,2542.1,20.75,34.279,7.83599236659228,0.0,0.0,0.0
33WA20150921,4060.0,56.0,2015.0,9.0,23.0,25.3499,-81.2291,1.0,1954.1,2254.9,29.37,37.22,7.99266039846285,0.0,0.0,0.0
33WA20150921,4060.0,55.0,2015.0,9.0,23.0,25.3499,-81.1995,1.0,2033.9,2341.4,29.44,36.617,7.9715551234968,0.0,0.0,0.0
33WA20150921,4060.0,56.0,2015.0,9.0,24.0,25.35,-81.2285,1.0,1964.4,2250.9,29.19,37.316,7.95883065146172,0.0,0.0,0.0
33WA20141201,4059.0,55.0,2014.0,12.0,3.0,25.35,-81.1936,1.0,2320.0,2602.0,20.63,33.597,7.88460082741453,0.0,0.0,0.0
33WA20141201,4059.0,57.0,2014.0,12.0,4.0,25.3506,-81.2634,1.0,2222.5,2461.1,20.84,34.693,8.05368179095968,0.0,0.0,0.0
